City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,wind Speed
noyabrsk,66,RU,1563411669,88,63.2,75.45,67.02,7.61
constantine,0,DZ,1563411670,46,36.36,6.61,71.6,2.24
mayo,75,CA,1563411671,24,63.59,-135.9,80.6,4.7
ishigaki,75,JP,1563411672,89,24.34,124.16,84.2,13.87
talnakh,0,RU,1563411673,49,69.49,88.39,69.8,4.47
manzil salim,40,TN,1563411675,19,35.86,8.48,69.8,1.12
whitehorse,90,CA,1563411676,49,60.72,-135.06,68.0,8.05
jalu,0,LY,1563411447,66,29.03,21.55,73.14,15.5
progreso,0,UY,1563411678,71,-34.68,-56.22,55.99,10.29
mugur-aksy,0,RU,1563411679,72,50.38,90.44,47.22,2.24
marandahalli,40,IN,1563411680,88,12.89,78.11,71.6,9.17
ewa beach,75,US,1563411606,69,21.32,-158.01,89.6,12.75
lasa,20,CY,1563411450,78,34.92,32.53,77.0,10.29
pangoa,65,PE,1563411683,98,-12.12,-73.0,65.22,1.68
sao joao da barra,21,BR,1563411685,83,-21.64,-41.05,60.36,5.53
shahapur,40,IN,1563411686,83,19.45,73.33,84.2,6.93
hasaki,75,JP,1563411687,88,35.73,140.83,78.01,5.82
hailar,85,CN,1563411688,49,49.2,119.7,71.34,3.62
ust-tsilma,100,RU,1563411689,91,65.44,52.15,45.96,3.83
kavaratti,100,IN,1563411690,75,10.57,72.64,83.04,25.88
souillac,0,FR,1563411691,82,45.6,-0.6,66.0,4.7
kaitangata,67,NZ,1563411693,56,-46.28,169.85,48.99,4.0
margate,75,AU,1563411694,50,-43.03,147.26,51.8,9.17
dillingen,100,DE,1563411695,67,49.85,6.32,62.6,9.17
yumen,51,CN,1563411696,61,40.29,97.04,65.94,12.55
puerto escondido,90,MX,1563411697,70,15.86,-97.07,84.2,4.7
chapais,1,CA,1563411698,42,49.78,-74.86,66.2,5.82
lere,30,TD,1563411699,93,9.66,14.23,74.4,4.63
yerofey pavlovich,0,RU,1563411701,55,53.97,121.97,74.58,2.62
lixourion,0,GR,1563411702,58,38.2,20.43,73.0,5.99
kedrovyy,9,RU,1563411703,82,56.17,91.82,66.2,2.93
jonkoping,2,SE,1563411704,93,57.78,14.16,48.99,2.8
honiara,75,SB,1563411705,83,-9.43,159.96,80.6,2.24
chuy,9,UY,1563411706,89,-33.69,-53.46,53.52,9.37
yangambi,68,CD,1563411707,87,0.77,24.47,72.06,0.74
ust-omchug,81,RU,1563411709,69,61.13,149.63,58.2,9.82
mattru,96,SL,1563411710,92,7.62,-11.83,73.68,2.75
darab,11,IR,1563411711,51,28.75,54.55,70.8,1.92
hoa binh,75,VN,1563411712,100,20.81,105.34,86.0,5.82
omboue,15,GA,1563411713,88,-1.57,9.26,75.12,12.86
bongandanga,45,CD,1563411714,90,1.51,21.07,72.78,2.3
morropon,0,PE,1563411715,76,-5.18,-79.97,61.98,2.06
college,40,US,1563411717,41,64.86,-147.8,77.0,4.7
lockport,75,CA,1563411718,73,50.09,-96.94,75.0,6.93
peniche,75,PT,1563411719,82,39.36,-9.38,62.6,13.87
komsomolskiy,100,RU,1563411720,97,67.55,63.78,56.76,11.25
hovd,0,NO,1563411721,87,63.83,10.7,55.99,4.7
emet,68,TR,1563411722,94,39.34,29.26,57.66,3.27
santa maria,40,BR,1563411724,56,-16.02,-48.01,71.6,4.7
pachmarhi,3,IN,1563411725,74,22.47,78.44,77.64,2.59
huilong,4,CN,1563411726,88,31.15,106.5,77.64,1.25
puro,100,PH,1563411727,78,13.13,123.76,82.5,23.94
penzance,100,GB,1563411728,100,50.12,-5.53,62.6,14.99
leh,0,IN,1563411729,42,34.16,77.58,35.88,0.69
matay,1,EG,1563411731,64,28.42,30.79,79.62,13.94
zhezkazgan,0,KZ,1563411732,43,47.8,67.71,69.8,13.42
okhotsk,99,RU,1563411733,85,59.36,143.24,59.46,7.4
ballina,62,IE,1563411734,92,54.11,-9.15,59.0,3.0
adre,35,TD,1563411735,64,13.47,22.2,75.84,9.6
annau,0,TM,1563411736,55,37.89,58.52,86.0,9.17
bree,100,NL,1563411737,72,51.14,5.6,64.0,4.7
bradley,1,US,1563411739,78,41.14,-87.86,86.0,3.36
qiongshan,98,CN,1563411740,100,20.01,110.35,80.6,4.47
isangel,75,VU,1563411741,57,-19.55,169.27,75.2,9.17
puranpur,19,IN,1563411742,76,28.51,80.15,79.98,3.62
saint anthony,20,US,1563411743,26,43.97,-111.68,82.4,16.11
bambanglipuro,91,ID,1563411744,84,-7.95,110.28,74.04,11.12
novopavlovka,0,KG,1563411745,49,42.87,74.49,71.6,8.95
tumarbong,100,PH,1563411747,74,10.38,119.46,83.04,13.89
gornopravdinsk,0,RU,1563411748,85,60.06,69.92,53.88,4.97
guanica,1,PR,1563411749,94,17.97,-66.91,82.0,4.7
glenluce,70,GB,1563411750,93,54.88,-4.81,55.0,1.99
barcelona,20,ES,1563411698,73,41.38,2.18,73.99,6.93
vryburg,0,ZA,1563411752,56,-26.96,24.73,46.5,4.83
peleduy,29,RU,1563411753,80,59.63,112.75,63.96,11.68
alyangula,54,AU,1563411755,57,-13.85,136.42,75.2,8.05
makokou,98,GA,1563411756,96,0.56,12.85,69.72,2.01
bluefields,100,NI,1563411757,90,12.01,-83.77,77.1,2.64
angoram,68,PG,1563411758,91,-4.06,144.07,77.46,2.1
pringsewu,100,ID,1563411759,93,-5.36,104.98,67.74,2.51
matadi,15,CD,1563411760,85,-5.83,13.46,71.52,2.8
goderich,56,CA,1563411762,85,43.74,-81.71,72.0,15.64
nouakchott,0,MR,1563411763,83,18.08,-15.98,77.0,19.46
kathmandu,90,NP,1563411737,100,27.71,85.32,68.0,2.24
bowmore,1,US,1563411765,62,34.94,-79.3,91.4,5.82
boa vista,75,BR,1563411766,78,2.82,-60.67,78.8,3.36
marsh harbour,30,BS,1563411767,68,26.54,-77.06,84.84,7.02
caxito,79,BR,1563411768,94,-22.65,-42.51,53.34,1.16
nsoko,0,ZA,1563411770,28,-27.07,31.93,56.04,7.36
barnala,4,IN,1563411771,79,30.38,75.54,79.62,6.4
cockburn town,52,TC,1563411772,75,21.46,-71.14,82.5,15.73
cidreira,0,BR,1563411773,87,-30.17,-50.22,58.02,10.54
lorengau,31,PG,1563411774,78,-2.02,147.27,82.68,8.88
wladyslawowo,0,PL,1563411775,100,54.79,18.4,55.99,2.24
redmond,90,US,1563411636,82,47.67,-122.12,69.01,9.17
orotukan,36,RU,1563411777,51,62.26,151.67,65.94,6.2
hikari,75,JP,1563411779,94,33.97,131.95,81.0,4.7
aykhal,0,RU,1563411737,61,65.95,111.51,50.0,8.95
bubaque,100,GW,1563411781,82,11.28,-15.83,79.62,10.58
thai binh,20,VN,1563411782,89,20.45,106.33,87.8,2.24
fez,0,MA,1563411783,82,34.03,-5.02,60.8,4.7
muriwai beach,44,NZ,1563411784,77,-36.82,174.45,62.01,1.12
toora-khem,11,RU,1563411785,64,52.47,96.11,58.74,1.5
martin,75,US,1563411657,89,36.34,-88.85,88.0,5.37
paris,0,FR,1563411576,55,48.86,2.35,69.8,2.24
cherskiy,50,RU,1563411789,60,68.75,161.3,42.9,10.58
oksovskiy,100,RU,1563411790,77,62.61,39.91,55.32,8.81
muros,0,ES,1563411791,93,42.77,-9.06,63.0,5.82
